Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),Pressure (Torr),Temperature (C)
0,13155.0,13155.000091698757,5.647399149184303e-07,2.959179279826044e-05,20.000000000000004,25.0
0,13155.005,13155.005009477703,6.858337231141754e-07,-1.4742612914054378e-05,20.000000000000004,25.0
0,13155.009999999998,13155.009947508413,8.908758479896345e-07,2.1813687393721675e-05,20.000000000000004,25.0
0,13155.014999999998,13155.01493916666,1.3053748459947288e-06,-1.2285915694718654e-05,20.000000000000004,25.0
0,13155.019999999997,13155.019969430114,2.2641058520022532e-06,4.778841977550322e-06,20.000000000000004,25.0
0,13155.024999999996,13155.024988693265,4.544577842159272e-06,-1.9988511035667138e-05,20.000000000000004,25.0
0,13155.029999999995,13155.030009105594,9.601804153986173e-06,-1.1308903922344023e-06,20.000000000000004,25.0
0,13155.034999999994,13155.034975921215,1.9407689157696038e-05,1.0589612080662564e-05,20.000000000000004,25.0
0,13155.039999999994,13155.039974559195,3.5332408548900656e-05,-1.8183299326304477e-05,20.000000000000004,25.0
0,13155.044999999993,13155.044968566051,5.614028365043552e-05,5.751311633803164e-05,20.000000000000004,25.0
0,13155.049999999992,13155.050007483149,7.662886563523867e-05,9.734356346131258e-05,20.000000000000004,25.0
0,13155.054999999991,13155.05505520228,8.916818771163675e-05,8.468612784914865e-05,20.000000000000004,25.0
0,13155.05999999999,13155.060078566921,8.818892826381734e-05,9.504503068192438e-05,20.000000000000004,25.0
0,13155.06499999999,13155.065113922397,7.415613252675944e-05,9.903600716531117e-05,20.000000000000004,25.0
0,13155.069999999989,13155.06994374018,5.3221856162329655e-05,8.322894768273273e-05,20.000000000000004,25.0
0,13155.074999999988,13155.074977144632,3.2904680934601865e-05,1.0232678282185344e-05,20.000000000000004,25.0
0,13155.079999999987,13155.080093208864,1.7868605786841506e-05,2.072075467791856e-05,20.000000000000004,25.0
0,13155.084999999986,13155.084953173913,8.872639576698923e-06,3.201734222280273e-05,20.000000000000004,25.0
0,13155.089999999986,13155.089948426636,4.354829073126598e-06,-3.6568891857692074e-05,20.000000000000004,25.0
0,13155.094999999985,13155.09504112162,2.375219330896182e-06,-2.3058548094486777e-05,20.000000000000004,25.0
0,13155.099999999984,13155.099968053191,1.5788481004859282e-06,7.2314511929987544e-06,20.000000000000004,25.0
0,13155.104999999983,13155.105047674508,1.2671784883206528e-06,9.17229526436183e-06,20.000000000000004,25.0
0,13155.109999999982,13155.109979213215,1.1476777099319533e-06,2.162985015180314e-05,20.000000000000004,25.0
0,13155.114999999982,13155.114957016885,1.1136630045945713e-06,2.5978911563010887e-06,20.000000000000004,25.0
0,13155.11999999998,13155.11996868731,1.129007146148153e-06,9.060019054085498e-06,20.000000000000004,25.0
0,13155.12499999998,13155.12504443737,1.1824619247068753e-06,-2.23159850005575e-05,20.000000000000004,25.0
0,13155.12999999998,13155.129980844034,1.2726429430373666e-06,2.347399954138759e-05,20.000000000000004,25.0
0,13155.134999999978,13155.135007943114,1.4039982839197285e-06,2.970429171008818e-05,20.000000000000004,25.0
0,13155.139999999978,13155.139974475791,1.5868564393199079e-06,1.6768217936269586e-05,20.000000000000004,25.0
0,13155.144999999977,13155.145026794202,1.8323084229434305e-06,-5.398460522374483e-05,20.000000000000004,25.0
