Spectrum Number,Spectrum Name,Frequency (MHz),Wavenumber (cm-1),Pressure (Torr),Temperature (C),Tau (us),Tau Error (%),Alpha (ppm/cm),Model (ppm/cm),Residuals (ppm/cm),QF,Background
1,20_torr,394376981.2480596,13155.000091698756,20.000000000000004,25.0,1127218.271201739,,2.959179279826044e-05,3.789444430240931e-06,-2.580234836801951e-05,3117.0,3.2496953858283424e-06
1,20_torr,394377128.67936337,13155.005009477703,20.000000000000004,25.0,-2262584.63911889,,-1.4742612914054378e-05,3.909026042935128e-06,1.8651638956989506e-05,3117.0,3.2496953858283424e-06
1,20_torr,394377276.7177997,13155.009947508412,20.000000000000004,25.0,1529150.4328340064,,2.1813687393721675e-05,4.110133348016751e-06,-1.7703554045704924e-05,3117.0,3.2496953858283424e-06
1,20_torr,394377426.36394936,13155.01493916666,20.000000000000004,25.0,-2715012.079576138,,-1.2285915694718654e-05,4.520131482689696e-06,1.680604717740835e-05,3117.0,3.2496953858283424e-06
1,20_torr,394377577.1674539,13155.019969430114,20.000000000000004,25.0,6980019.359609376,,4.778841977550322e-06,5.47712998325693e-06,6.982880057066078e-07,3117.0,3.2496953858283424e-06
1,20_torr,394377727.64117754,13155.024988693263,20.000000000000004,25.0,-1668779.1031705483,,-1.9988511035667135e-05,7.758186201011657e-06,2.774669723667879e-05,3117.0,3.2496953858283424e-06
1,20_torr,394377878.14935285,13155.030009105594,20.000000000000004,25.0,-29495705.108883217,,-1.1308903922344023e-06,1.2834795462541949e-05,1.3965685854776351e-05,3117.0,3.2496953858283424e-06
1,20_torr,394378027.0507392,13155.034975921217,20.000000000000004,25.0,3149917.9824279444,,1.0589612080662564e-05,2.2564353894099216e-05,1.1974741813436652e-05,3117.0,3.2496953858283424e-06
1,20_torr,394378176.90613586,13155.039974559197,20.000000000000004,25.0,-1834453.0836359754,,-1.818329932630448e-05,3.845333086399242e-05,5.6636630190296896e-05,3117.0,3.2496953858283424e-06
1,20_torr,394378326.6226949,13155.044968566051,20.000000000000004,25.0,579979.1707297497,,5.751311633803164e-05,5.921687376773228e-05,1.7037574297006387e-06,3117.0,3.2496953858283424e-06
1,20_torr,394378477.6856292,13155.050007483149,20.000000000000004,25.0,342666.82186,,9.734356346131258e-05,7.986649262454246e-05,-1.747707083677012e-05,3117.0,3.2496953858283424e-06
1,20_torr,394378629.0124417,13155.05505520228,20.000000000000004,25.0,393882.80426793115,,8.468612784914865e-05,9.244607977488487e-05,7.759951925736226e-06,3117.0,3.2496953858283424e-06
